"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count","school"
"1207804505699561477",2019-12-19 23:26:48,"ChristaMuhammad","This is a MUST on Post Signing Day!!! Gotta give it up to Coach Craig, y'all!!! <U+0001F44F><U+0001F3FE><U+0001F44F><U+0001F3FE><U+0001F44F><U+0001F3FE> He's on a mission!! <U+0001F9E9><U+0001F4AF> Turning Boys to Men!
Plus, I absolutely love this picture!<U+0001F618>
@CDameyune @DemondDemas1 @moosemuhammad @MooseMuhammad87 
#gigem <U+0001F44D><U+0001F3FE> https://t.co/Rx8jBhticR",503,48,NA,471,"tamu"
"1208185347923988480",2019-12-21 00:40:08,"artgarcia_pmp","@AggieFootball #12thMan <U+0001F440> you, @ckirk!
#Whoop #Gigem #NFLAggie 
<U+0001F525><U+0001F493><U+0001F3C8><U+0001F64C><U+0001F3FC><U+0001F4AA><U+0001F3FC><U+0001F44D><U+0001F3FC>",0,0,NA,642,"tamu"
"1208178722882371584",2019-12-21 00:13:49,"PrplGld","Still tryin’ to smooth out them Aggie drag marks, I see...
#GigEm 
#GeauxTigers https://t.co/R9Rcyy91oi",38,7,NA,1032,"tamu"
"1208164331046748160",2019-12-20 23:16:37,"dpasamonte","This quote pretty much sums it up about both Aggies and Longhorns fans: “a lot of empty statements from one side or another.” #HookEm <U+0001F918> #GigEm <U+0001F44D> https://t.co/AyA6U4N5vP https://t.co/3VVi50dzNP",0,0,"San Antonio, TX",2028,"tamu"
"1207771335000150016",2019-12-19 21:15:00,"AggieSwimDive","Mark Theall with three times in the top 30 times. <U+0001F4AA><U+0001F624><U+0001F44D>

#GigEm | #BeTheDifference https://t.co/MDZfCNtE3y",20,4,NA,316,"tamu"
"1207775109953417216",2019-12-19 21:30:00,"AggieSwimDive","Who told @Andresp098 to go OFF? Three times in the top 30 for the freshman!<U+0001F41F><U+0001F4AA>

#GigEm | #BeTheDifference https://t.co/xOmMigTdaS",24,3,NA,316,"tamu"
"1208145050036789253",2019-12-20 22:00:00,"AggieSwimDive","Hit 'em with the sprints @adamkostt <U+0001F3CA><U+200D><U+2642><U+FE0F><U+0001F4A8><U+0001F4A6>

#GigEm | #BeTheDifference https://t.co/IQRAWqmAFi",4,0,NA,316,"tamu"
"1208130756285018113",2019-12-20 21:03:12,"AggieSwimDive","Heres four more Aggies with times ranked in the top 30... talk about DEPTH! <U+0001F60F><U+0001F4AA><U+0001F44D>

#GigEm | #BeTheDifference https://t.co/xWuq1BUhDl",21,1,NA,316,"tamu"
"1207767560374161414",2019-12-19 21:00:00,"AggieSwimDive","Got the Relays on <U+0001F512>

#GigEm | #BeTheDifference https://t.co/jUniQQ6ijD",33,5,NA,316,"tamu"
"1208163921888194560",2019-12-20 23:15:00,"AggieSwimDive","A top five ranked time through five different events... eight times ranked within the top 25... SHEESH! <U+0001F62E><U+0001F92F>

#GigEm | #BeTheDifference https://t.co/V4u4O3yHVf",37,4,NA,316,"tamu"
"1207767561913286656",2019-12-19 21:00:00,"AggieFootball","A force for the future. 2<U+FE0F><U+20E3>6<U+FE0F><U+20E3><U+0001F4AA><U+0001F3FE>

@therealdemani | #GigEm https://t.co/XRii6WQqo2",1078,183,NA,262,"tamu"
"1208160149594165251",2019-12-20 23:00:00,"AggieFootball","We've got history down in H-Town.

#GigEm https://t.co/GnLxDmnFgI",252,43,NA,262,"tamu"
"1207420271663046657",2019-12-18 22:00:00,"AggieFootball","#12thMan BOWL UPDATE: 

We have <U+0001D61A><U+0001D616><U+0001D613><U+0001D60B> <U+0001D616><U+0001D61C><U+0001D61B> of our ticket allotment! To purchase from remaining @TexasBowl inventory, visit:
<U+0001F39F><U+FE0F> https://t.co/HsXW2AcBf2

<U+0001F4F0> https://t.co/uwUQQtTXrg

#TexasBowl | #GigEm https://t.co/w73XogNLWQ",134,24,NA,262,"tamu"
"1207692063829118976",2019-12-19 16:00:00,"AggieFootball","""...Signing Day, every year, kinda puts it into perspective. You're like, 'wow that seems like just yesterday that was me'...""
- @Prater_76

Hear from the players at yesterday's press conference:
<U+0001F4F9> https://t.co/ms1UX6QYfX

#GigEm https://t.co/Y11VCneyMC",101,8,NA,262,"tamu"
"1208099753801781248",2019-12-20 19:00:01,"AggieFootball","One of the best to ever do it. <U+0001F1FA><U+0001F1F8>

@MannBraden | #GigEm https://t.co/mjKnrZDLYi",496,40,NA,262,"tamu"
"1208069556767358976",2019-12-20 17:00:01,"AggieFootball","Dive deep into the matchup.

2019 @TexasBowl Guide:
<U+26A1> https://t.co/5gfGe1pLrW

#TexasBowl | #GigEm https://t.co/VMq95fAVnR",44,10,NA,262,"tamu"
"1208129949359579141",2019-12-20 21:00:00,"AggieFootball","Spiller's just getting started. 2<U+FE0F><U+20E3>8<U+FE0F><U+20E3><U+270C><U+FE0F>

@isaiah_spiller | #GigEm https://t.co/wsbme0LxYV",570,88,NA,262,"tamu"
"1208156226732908544",2019-12-20 22:44:25,"JWT1911","Wait...  10 min on twitter and 1 hour on YT??   Is this a ASMR thing only in CSTAT?   #GIGEM https://t.co/xFBaRmqJBB",0,0,NA,245,"tamu"
"1208147596335861761",2019-12-20 22:10:07,"PostinsPostcard","#CollegeBowlSchedule for #SECFootball #GigEm #GeauxTigers #HailState #GoGators #WeAreUK #WarEagle #RollTide #GoDawgs #Vols #RoadTripSports #NFF #CFB150 #FootballTillFebruary #BowlMania

<U+27A1><U+FE0F> #CollegeFootballAmerica: https://t.co/fhsGiJ5uPU
<U+27A1><U+FE0F> Schedule: https://t.co/ORKQD0lM9y https://t.co/BFF6ZNoPgm",0,0,NA,819,"tamu"
"1208146886584160261",2019-12-20 22:07:18,"Aggiefootballt1","MAKING THE AGGIES GREAT AGAIN!! #12thman #GigEm #GigEmGang20 https://t.co/cX7pjIQf6b",6,0,NA,90,"tamu"
"1208144805315973120",2019-12-20 21:59:02,"AggieVolleyball","All-American Hollann! <U+0001F1FA><U+0001F1F8><U+0001F3D0>

#Trust #GigEm https://t.co/9SnDTriEZL",258,16,NA,147,"tamu"
"1207378451403018240",2019-12-18 19:13:49,"AndrewHatts","Standout 4-star OL Chris Morris inks with the Aggies. #NationalSigningDay #GigEm 

https://t.co/ScmqcelRca https://t.co/ysSr72jQ64",2,0,NA,732,"tamu"
"1207361969130541056",2019-12-18 18:08:19,"AndrewHatts","DT Dallas Walker reaffirms pledge to Texas A&amp;M after Auburn visits, signs with A&amp;M. #NationalSigningDay #GigEm

https://t.co/5r9juURgWj https://t.co/jQkEglONTm",4,0,NA,732,"tamu"
"1207378682047795207",2019-12-18 19:14:44,"AndrewHatts","Versatile 4-star safety Antonio Johnson signs with Texas A&amp;M. #NationalSigningDay #GigEm 

https://t.co/rBQPynqrKz https://t.co/HbQVnJzZRg",0,0,NA,732,"tamu"
"1208066443935469568",2019-12-20 16:47:39,"AndrewHatts","Josh Gibson has had the chance to watch the standout duo of Landon Jackson and Marcus Burris develop on and off the field the last couple of years. As the Hawks get ready for another state championship appearance he talked about their impact. #GigEm (VIP)
https://t.co/WPE046YdtR https://t.co/xXFOzrQ5hU",0,0,NA,732,"tamu"
"1207368071847055361",2019-12-18 18:32:34,"AndrewHatts","4-star DE Fadil Diggs, the NJ Player of the Year, has officially signed with Texas A&amp;M. #NationalSigningDay #GigEm 

https://t.co/UGrGxfgVVD https://t.co/w2sI2eAoOK",3,0,NA,732,"tamu"
"1207705958165688321",2019-12-19 16:55:13,"AndrewHatts","Take: @Perroni247 and I give our top 5 Texas A&amp;M signees and top 5 early contributors, in order. #GigEm 

https://t.co/369z573Nsi https://t.co/CY3olWX5Kt",2,0,NA,732,"tamu"
"1208131951124779010",2019-12-20 21:07:57,"AndrewHatts","Texas A&amp;M offers 2022 WR Amari Clark. Teammate of A&amp;M signee Fadil Diggs. #GigEm 

https://t.co/tMpzLxULP6 https://t.co/pkZkBzqYyH",2,0,NA,732,"tamu"
"1207357501865431042",2019-12-18 17:50:34,"AndrewHatts","Just days after committing to Texas A&amp;M, Antonio Doyle is officially an Aggie. #NationalSigningDay #GigEm 

https://t.co/glFybsV0z1 https://t.co/ZsxYjwBHZ2",13,1,NA,732,"tamu"
"1208138161148301312",2019-12-20 21:32:38,"AndrewHatts","Texas A&amp;M extends an offer to 2021 SF Alex Fudge. #GigEm 

https://t.co/VviJ0jSaXe https://t.co/1fMjsO112Z",0,0,NA,732,"tamu"
"1208135991606890496",2019-12-20 21:24:01,"AndrewHatts","Texas A&amp;M offers 2022 Woodrow Wilson QB Devin Kargman. #GigEm 

https://t.co/vjOhtQEluE https://t.co/2lY93kUNWt",1,0,NA,732,"tamu"
"1207414838483456000",2019-12-18 21:38:24,"AndrewHatts","A&amp;M holds off UF for 4-star DE Harris, who signs with Aggies. #NationalSigningDay #GigEm 

https://t.co/G39GCYn1pV https://t.co/PfvKyuBeNx",3,0,NA,732,"tamu"
"1207442876050882561",2019-12-18 23:29:49,"AndrewHatts","Signing Day wrap up: Texas A&amp;M has very strong day. #NationalSigningDay #GigEm 

https://t.co/JrGnozSwHu https://t.co/UNA3jJz288",1,0,NA,732,"tamu"
"1208134676679987208",2019-12-20 21:18:47,"fred_spiller","Finish Strong @isaiah_spiller! The best is yet to come!! #TrueFish #SECRB #Gigem https://t.co/WF0LzTlAvl",146,6,"Houston, TX",504,"tamu"
"1208134158670815233",2019-12-20 21:16:44,"kcdennis","I love that maroon jacket and tie combination @finebaum... Lookin' good! #gigem",0,0,NA,403,"tamu"
"1207762375048400906",2019-12-19 20:39:24,"kcdennis","@finebaum  How 'bout them Aggies Paaawl?! National signing day #6 nationally and #4 in the SEC! #gigem",0,0,NA,403,"tamu"
