"status_id","screen_name","text","favorite_count","retweet_count"
1207644607426842624,"DASH_Sportz","State of Georgia Top 5 Signed with:

1. #ALLIN
2. #GeauxTigers
3. #UGA
4. #WarEagle
5. #UGA",0,0
1207676308702060544,"krazykayjun","@LSUfootball #LSU #GEAUXTigers",0,0
1207674648130916352,"Desmond_Boseman","#GeauxTigers We Dem Boyz Tiger Nation LSU https://t.co/EUPwZmH4Pa",0,0
1207673502570106880,"RoyceWall58","@CFAPeachBowl #GeauxTigers #CFBPlayoff #CFAPeachBowl",0,0
1207670833017171968,"B_Hagerman817","@Joe_Burrow10 
#GeauxTigers #LSU #lsufootball 

It<U+0092>s an LSU thing, we like to show are ass https://t.co/iHeHKnpwLH",2,1
1207670756387303424,"YoungFanna17","@coachakpenrod @Joe_Burrow10 Praying for healing in your wife<U+0092>s body and praying for your family <U+0001F64F><U+0001F3FC>    #GeauxTigers",0,0
1207669945741516800,"bunk213","@sugarfoot9804 @Realrclark25 #LSU rolled tide right out of the dam playoffs hahahaha #GeauxTigers",0,0
1207668197928796160,"pismoeyedoc","#GeauxTigers https://t.co/EXKnpbrnk0 https://t.co/iJ15nQXEQN",2,0
1207667052208635904,"smayeaux8918","@Joe_Burrow10 Even Santa Claus is a fan, bro! #GeauxTigers https://t.co/rggYMotWi6",0,0
1207666463420616704,"Eric_Esteban","Level up recruiting. #GeauxTigers planted their flag in Broward County today with an OOH billboard celebrating @STA_Football<U+0092>s @marcus_dumervil Signing Day commitment to @LSUfootball. https://t.co/owX1fKsf3w",16,3
1207664795345969152,"Alex_Maurice251","@CALEBcsw YKWTFGO #GeauxTigers https://t.co/1mg8JhM779",0,0
1207660074224771072,"Data_Knox","@BMWUSA I didn<U+0092>t think I could love my car anymore and then I saw you actually got Tiger Stadium right #LSU #GeauxTigers https://t.co/5EZ38j9V9q",1,0
1207658718030106624,"sdamare751","Best way to spend a birthday is with my dad...wish it wasn<U+0092>t getting treatment for cancer, but I<U+0092>ll take what I can get.  BTW..notice his LSU blanket..even he<U+0092>s shouting loud and proud in NJ. #GeauxTigers #Cancersucks https://t.co/f0oRPYOaTX",8,0
1207655598692671488,"jeffginn","@LSUfootball @bferguson50 @S4CKGURU @Rashard_99 @Joe_Burrow10 @LCush79 Congrats @bferguson50 for being a captain!  We are proud of your play but even more your character!  #GeauxTigers",0,0
1207648628145315840,"LSU_Mellie","@CFISDAbbie @cycreekhs @CyCreekBooster @VSnokhous @CyFairISD @CYCREEKFBALL17 @ray_zepeda1 @CFISDAthletics Welcome!! #GeauxTigers #ForeverLSU <U+0001F49C><U+0001F49B><U+0001F42F>",0,0
1207651124163076096,"LSU_Mellie","#HoldThatTiger #GeauxTigers #ForeverLSU <U+0001F49C><U+0001F49B><U+0001F42F> https://t.co/r4nNvKnW4k",0,0
1207649684765974528,"LSU_Mellie","#Family #GeauxTigers #ForeverLSU <U+0001F49C><U+0001F49B><U+0001F42F> https://t.co/N4yOptGOhM",0,0
