"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count"
"1208072521150554112",2019-12-20 17:11:48,"MikeRoach247","New Texas signee Jaylan Ford (@Jaylanfxrd) opens up on decision to sign with Longhorns. #HookEm https://t.co/v0ylwpSuVr https://t.co/VvUoa8TpQG",18,4,NA,1115
"1208207362089197568",2019-12-21 02:07:37,"BDammone","PBU by @TexasFootball commit @Billy2Bowman of @DentonRyanFball . #HookEm #trUTh21 #ATW #Txhsfbplayoffs https://t.co/k1gZO7jcXf",2,0,"AT&T Stadium",1164
"1208202188536909825",2019-12-21 01:47:03,"BDammone","Sack by @DentonRyanFball  ATH @Jatavionsanders . #HookEm #ATW #Txhsfbplayoffs https://t.co/WIInmfDNhi",1,0,"Arlington, TX",1164
"1208024614074552320",2019-12-20 14:01:26,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/X0OzbAXP8B Providence will provide a physical challenge for Texas https://t.co/MoQ8giQLIb",0,0,NA,1075
"1208137784298479616",2019-12-20 21:31:08,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/i6Sgenl1YO Two 2021 Longhorn commits will play for a state title tonight https://t.co/psrSGrZ1KF",0,0,NA,1075
"1208204487338450946",2019-12-21 01:56:11,"UTLONGHORNSNO1","#HookEm #Longhorns https://t.co/vnsHgDGvDk Video: Women's Basketball's Sophie Taylor surprised with scholarship",0,0,NA,1075
"1207782498714996737",2019-12-19 21:59:21,"UTLONGHORNSNO1","#HookEm #Longhorns https://t.co/3LvKTXhqXj Video: LHN Celeste Taylor interview",1,0,NA,1075
"1208160559503433735",2019-12-20 23:01:38,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/AmBd0p61iD 9 Longhorn commits named to All-State teams this week https://t.co/Rjx5aKtxgn",3,0,NA,1075
"1207798568989405187",2019-12-19 23:03:13,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/mXhjrbLhnb Texas flips LB Jaylan Ford from Utah https://t.co/ApRIllMmEd",0,0,NA,1075
"1207806220033241088",2019-12-19 23:33:37,"UTLONGHORNSNO1","#HookEm #Texas https://t.co/9VMaVBMZO3 Texas offers 4-star Georgia Tech RB commit Jahmyr Gibbs https://t.co/FAMQdu2vQT",1,0,NA,1075
